geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	339	318
FBgn0000014	0	0
FBgn0000015	0	3
FBgn0000017	617	586
FBgn0000018	39	47
FBgn0000022	0	0
FBgn0000024	2206	1607
FBgn0000028	379	4
FBgn0000032	104	137
FBgn0000036	1387	1548
FBgn0000037	923	834
FBgn0000038	5333	5387
FBgn0000039	790	819
FBgn0000042	5082	28
FBgn0000043	82	83
FBgn0000044	3940	3515
FBgn0000045	84	210
FBgn0000046	386	453
FBgn0000047	43	44
FBgn0000052	1326	1144
FBgn0000053	3389	3503
FBgn0000055	1	1
FBgn0000056	0	0
FBgn0000057	195	178
FBgn0000061	1	5
FBgn0000063	17	14
FBgn0000064	8355	6343
FBgn0000071	8	13
FBgn0000075	110	70
FBgn0000077	174	2
FBgn0000078	1611	950
FBgn0000079	746	1387
FBgn0000083	1812	1270
FBgn0000084	2112	15
FBgn0000092	78	0
FBgn0000094	0	0
FBgn0000097	412	374
FBgn0000100	3	2
FBgn0000108	15334	104
FBgn0000109	49	62
FBgn0000114	791	1113
FBgn0000115	207	144
FBgn0000116	18972	12977
FBgn0000117	2559	9
FBgn0000119	617	633
FBgn0000120	47211	45669
FBgn0000121	75733	77056
FBgn0000137	0	0
FBgn0000139	163	115
FBgn0000140	3	7
FBgn0000146	5	12
FBgn0000147	12	12
FBgn0000150	19	16
FBgn0000152	186	0
FBgn0000153	284	316
FBgn0000157	101	98
FBgn0000158	0	0
FBgn0000163	1442	10
FBgn0000166	0	0
FBgn0000173	2463	22
FBgn0000179	930	2
FBgn0000180	74	71
FBgn0000181	348	441
FBgn0000182	0	0
FBgn0000183	1050	979
FBgn0000206	1349	1560
FBgn0000212	698	712
FBgn0000216	0	0
FBgn0000221	107	0
FBgn0000227	0	0
FBgn0000228	735	756
FBgn0000229	1099	1115
FBgn0000233	25	0
FBgn0000239	103	127
FBgn0000241	453	372
FBgn0000244	73	76
FBgn0000246	25	19
FBgn0000247	805	776
FBgn0000250	870	884
FBgn0000251	0	1
FBgn0000253	26435	22862
FBgn0000256	1306	1157
FBgn0000257	606	4
FBgn0000259	1220	8
FBgn0000261	1233	1330
FBgn0000273	4355	5280
FBgn0000274	0	0
FBgn0000276	0	3
FBgn0000277	1	0
FBgn0000278	0	0
FBgn0000279	2	1
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	45	37
FBgn0000286	533	473
FBgn0000287	518	452
FBgn0000289	1251	1208
FBgn0000299	1287	1050
FBgn0000303	1071	1257
FBgn0000307	621	651
FBgn0000308	993	1084
FBgn0000316	210	1
FBgn0000317	607	588
FBgn0000318	309	273
FBgn0000319	4930	38
FBgn0000320	383	401
FBgn0000326	253	289
FBgn0000330	528	4
FBgn0000337	2	0
FBgn0000339	208	150
FBgn0000346	9133	42
FBgn0000351	1	4
FBgn0000352	426	398
FBgn0000355	0	1
FBgn0000356	0	0
FBgn0000357	11	2
FBgn0000358	3	2
FBgn0000359	0	0
FBgn0000360	0	0
FBgn0000370	2047	1969
FBgn0000376	606	2
FBgn0000377	309	2
FBgn0000382	4624	19
FBgn0000384	60	50
FBgn0000392	0	0
FBgn0000394	275	1
FBgn0000395	176	179
FBgn0000404	21	26
FBgn0000405	16	4
FBgn0000406	2758	2929
FBgn0000411	182	157
FBgn0000412	730	805
FBgn0000414	2327	1926
FBgn0000416	3980	3692
FBgn0000422	3870	3755
FBgn0000426	0	0
FBgn0000427	1	0
FBgn0000439	186	163
FBgn0000442	3	13
FBgn0000447	175	161
FBgn0000448	470	450
FBgn0000449	0	0
FBgn0000451	23	22
FBgn0000454	1045	996
FBgn0000455	332	454
FBgn0000459	573	6
FBgn0000463	158	149
FBgn0000464	145	119
FBgn0000473	6432	9717
FBgn0000477	687	845
FBgn0000479	8495	154
FBgn0000482	515	1
FBgn0000489	870	1291
FBgn0000490	244	234
FBgn0000492	82	87
FBgn0000499	560	0
FBgn0000500	2	2
FBgn0000504	121	117
FBgn0000520	303	0
FBgn0000524	137	6
FBgn0000527	185	168
FBgn0000529	50	44
FBgn0000533	55	47
FBgn0000535	2704	8
FBgn0000536	2031	6
FBgn0000541	84	99
FBgn0000542	281	2
FBgn0000543	328	312
FBgn0000546	396	368
FBgn0000547	1497	1695
FBgn0000551	1	9
FBgn0000552	0	0
FBgn0000557	2114	2447
FBgn0000559	41	91
FBgn0000560	2	0
FBgn0000562	1064	968
FBgn0000564	0	0
FBgn0000565	699	569
FBgn0000566	565	349
FBgn0000567	361	421
FBgn0000568	2871	3007
FBgn0000575	1514	1534
FBgn0000576	54	43
FBgn0000577	31	30
FBgn0000578	799	616
