geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	258	198
FBgn0000014	138	118
FBgn0000015	45	46
FBgn0000017	172	169
FBgn0000018	213	167
FBgn0000022	0	0
FBgn0000024	18	8
FBgn0000028	306	2
FBgn0000032	404	403
FBgn0000036	41	73
FBgn0000037	22	14
FBgn0000038	56	51
FBgn0000039	1	2
FBgn0000042	3176	12
FBgn0000043	2438	2386
FBgn0000044	341	388
FBgn0000045	1	1
FBgn0000046	2055	1933
FBgn0000047	2	2
FBgn0000052	291	223
FBgn0000053	314	263
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	619	547
FBgn0000061	0	0
FBgn0000063	204	207
FBgn0000064	3885	3831
FBgn0000071	5	5
FBgn0000075	12	20
FBgn0000077	17	0
FBgn0000078	619	1067
FBgn0000079	1989	2570
FBgn0000083	706	661
FBgn0000084	520	3
FBgn0000092	3	0
FBgn0000094	97	69
FBgn0000097	83	49
FBgn0000100	0	0
FBgn0000108	23	0
FBgn0000109	43	42
FBgn0000114	11830	11671
FBgn0000115	175	142
FBgn0000116	2531	933
FBgn0000117	625	1
FBgn0000119	542	813
FBgn0000120	7	10
FBgn0000121	3	1
FBgn0000137	0	0
FBgn0000139	145	170
FBgn0000140	1501	1023
FBgn0000146	140	167
FBgn0000147	783	859
FBgn0000150	4	3
FBgn0000152	39	0
FBgn0000153	6	12
FBgn0000157	9	12
FBgn0000158	32	42
FBgn0000163	481	3
FBgn0000166	2	3
FBgn0000173	293	0
FBgn0000179	39	0
FBgn0000180	18	31
FBgn0000181	382	323
FBgn0000182	18	20
FBgn0000183	326	418
FBgn0000206	16	44
FBgn0000212	129	135
FBgn0000216	0	1
FBgn0000221	191	0
FBgn0000227	0	0
FBgn0000228	59	80
FBgn0000229	248	229
FBgn0000233	32	0
FBgn0000239	244	290
FBgn0000241	2	20
FBgn0000244	7	9
FBgn0000246	19	11
FBgn0000247	665	614
FBgn0000250	308	295
FBgn0000251	399	474
FBgn0000253	1746	1753
FBgn0000256	8850	10334
FBgn0000257	252	0
FBgn0000259	194	2
FBgn0000261	1303	1285
FBgn0000273	208	292
FBgn0000274	1559	1476
FBgn0000276	26	30
FBgn0000277	0	0
FBgn0000278	0	2
FBgn0000279	5	2
FBgn0000280	0	0
FBgn0000281	0	1
FBgn0000283	14	19
FBgn0000286	167	179
FBgn0000287	335	854
FBgn0000289	354	332
FBgn0000299	283	273
FBgn0000303	2	12
FBgn0000307	135	132
FBgn0000308	476	520
FBgn0000316	63	0
FBgn0000317	210	189
FBgn0000318	436	485
FBgn0000319	1936	7
FBgn0000320	323	264
FBgn0000326	225	129
FBgn0000330	230	2
FBgn0000337	0	0
FBgn0000339	80	71
FBgn0000346	1313	2
FBgn0000351	2	6
FBgn0000352	74	129
FBgn0000355	148	206
FBgn0000356	0	0
FBgn0000357	24	21
FBgn0000358	0	3
FBgn0000359	0	0
FBgn0000360	1	0
FBgn0000370	552	546
FBgn0000376	73	0
FBgn0000377	84	0
FBgn0000382	289	7
FBgn0000384	23	29
FBgn0000392	0	0
FBgn0000394	32	1
FBgn0000395	49	66
FBgn0000404	1192	1209
FBgn0000405	1133	1148
FBgn0000406	122	144
FBgn0000411	97	69
FBgn0000412	979	938
FBgn0000414	63	45
FBgn0000416	3410	3419
FBgn0000422	71	63
FBgn0000426	0	0
FBgn0000427	29	0
FBgn0000439	6	1
FBgn0000442	1	0
FBgn0000447	2398	2586
FBgn0000448	0	3
FBgn0000449	3	1
FBgn0000451	3	2
FBgn0000454	1551	1450
FBgn0000455	180	225
FBgn0000459	61	0
FBgn0000463	135	108
FBgn0000464	17	6
FBgn0000473	336	323
FBgn0000477	8	21
FBgn0000479	263	1
FBgn0000482	167	0
FBgn0000489	263	1202
FBgn0000490	258	93
FBgn0000492	18	13
FBgn0000499	2050	10
FBgn0000500	0	0
FBgn0000504	9	6
FBgn0000520	29	0
FBgn0000524	85	4
FBgn0000527	245	165
FBgn0000529	2	0
FBgn0000533	4	3
FBgn0000535	7	0
FBgn0000536	596	6
FBgn0000541	163	131
FBgn0000542	192	1
FBgn0000543	167	243
FBgn0000546	8	10
FBgn0000547	142	159
FBgn0000551	13	16
FBgn0000552	5	0
FBgn0000557	14	23
FBgn0000559	12	16
FBgn0000560	0	1
FBgn0000562	128	146
FBgn0000564	0	0
FBgn0000565	117	115
FBgn0000566	246	219
FBgn0000567	21	55
FBgn0000568	161	145
FBgn0000575	75	71
FBgn0000576	5	4
FBgn0000577	31	157
FBgn0000578	275	271
FBgn0000579	2903	3578
FBgn0000581	804	721
FBgn0000588	54	83
FBgn0000591	0	1
FBgn0000592	226	190
FBgn0000594	0	0
FBgn0000606	0	5
FBgn0000611	288	0
FBgn0000615	9458	8899
FBgn0000617	168	1
FBgn0000618	2	0
FBgn0000625	3	3
FBgn0000629	138	239
FBgn0000633	65	10
FBgn0000635	295	3
FBgn0000636	270	243
FBgn0000639	0	3
FBgn0000640	5	19
FBgn0000644	9	0
FBgn0000658	4	8
