geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	400	434
FBgn0000014	0	0
FBgn0000015	0	0
FBgn0000017	507	493
FBgn0000018	149	162
FBgn0000022	0	0
FBgn0000024	2475	1754
FBgn0000028	144	156
FBgn0000032	370	378
FBgn0000036	1253	1391
FBgn0000037	610	477
FBgn0000038	2297	2262
FBgn0000039	506	467
FBgn0000042	4155	3938
FBgn0000043	152	179
FBgn0000044	10525	9597
FBgn0000045	57	247
FBgn0000046	986	1209
FBgn0000047	16	12
FBgn0000052	11482	10613
FBgn0000053	39393	42337
FBgn0000055	7	11
FBgn0000056	0	0
FBgn0000057	418	419
FBgn0000061	0	3
FBgn0000063	27	15
FBgn0000064	25552	21526
FBgn0000071	13	15
FBgn0000075	103	71
FBgn0000077	210	237
FBgn0000078	6205	4155
FBgn0000079	5488	9190
FBgn0000083	3915	2785
FBgn0000084	2133	1664
FBgn0000092	17	41
FBgn0000094	1	2
FBgn0000097	781	691
FBgn0000100	9	10
FBgn0000108	9103	9225
FBgn0000109	267	251
FBgn0000114	1710	2184
FBgn0000115	609	581
FBgn0000116	31000	20770
FBgn0000117	2064	2030
FBgn0000119	948	1061
FBgn0000120	112561	108776
FBgn0000121	184034	189056
FBgn0000137	0	0
FBgn0000139	331	290
FBgn0000140	2	2
FBgn0000146	8	24
FBgn0000147	17	44
FBgn0000150	25	20
FBgn0000152	234	215
FBgn0000153	491	621
FBgn0000157	75	73
FBgn0000158	0	0
FBgn0000163	910	902
FBgn0000166	0	0
FBgn0000173	2908	3233
FBgn0000179	504	495
FBgn0000180	102	91
FBgn0000181	675	716
FBgn0000182	0	0
FBgn0000183	1658	1489
FBgn0000206	2387	2674
FBgn0000212	1038	1037
FBgn0000216	0	0
FBgn0000221	89	173
FBgn0000227	0	0
FBgn0000228	984	964
FBgn0000229	2349	2287
FBgn0000233	22	20
FBgn0000239	365	437
FBgn0000241	678	558
FBgn0000244	170	188
FBgn0000246	33	32
FBgn0000247	1004	1015
FBgn0000250	1858	1936
FBgn0000251	3	0
FBgn0000253	53009	41627
FBgn0000256	1506	1392
FBgn0000257	450	398
FBgn0000259	1265	1246
FBgn0000261	3452	3754
FBgn0000273	7030	8792
FBgn0000274	0	0
FBgn0000276	411	561
FBgn0000277	294	502
FBgn0000278	27	19
FBgn0000279	128	101
FBgn0000280	0	2
FBgn0000281	0	0
FBgn0000283	47	59
FBgn0000286	794	874
FBgn0000287	683	614
FBgn0000289	1553	1438
FBgn0000299	3601	3237
FBgn0000303	828	981
FBgn0000307	856	837
FBgn0000308	1897	2340
FBgn0000316	214	175
FBgn0000317	1302	1307
FBgn0000318	812	754
FBgn0000319	4986	4530
FBgn0000320	450	532
FBgn0000326	751	887
FBgn0000330	450	477
FBgn0000337	0	0
FBgn0000339	414	411
FBgn0000346	5054	4784
FBgn0000351	3	1
FBgn0000352	382	424
FBgn0000355	0	0
FBgn0000356	0	0
FBgn0000357	15	6
FBgn0000358	8	2
FBgn0000359	0	0
FBgn0000360	0	0
FBgn0000370	5192	5422
FBgn0000376	369	407
FBgn0000377	386	289
FBgn0000382	3456	3348
FBgn0000384	157	208
FBgn0000392	0	0
FBgn0000394	380	374
FBgn0000395	295	254
FBgn0000404	34	63
