geneID	sample.size.metric
FBgn0000008	6.04500531403601
FBgn0000017	6.22389814532928
FBgn0000032	6.83392931834148
FBgn0000042	8.89109883061664
FBgn0000043	6.75051650255565
FBgn0000044	9.05481652756761
FBgn0000052	9.15147461910915
FBgn0000053	10.3726105858377
FBgn0000057	6.21026534898806
FBgn0000064	9.94459750559234
FBgn0000075	5.0573068134054
FBgn0000077	5.8190933211672
FBgn0000079	8.69676096001357
FBgn0000083	8.23102108949606
FBgn0000084	7.62192982673416
FBgn0000097	6.72242921316788
FBgn0000109	5.79707040907976
FBgn0000114	8.83321973687716
FBgn0000115	6.93033183316104
FBgn0000116	10.0996161299987
FBgn0000117	8.0688205822968
FBgn0000119	6.89635723402977
FBgn0000139	6.09168688490968
FBgn0000147	6.53572494696021
FBgn0000152	5.50533153593236
FBgn0000163	6.91506185416458
FBgn0000173	8.16104191986099
FBgn0000181	6.6802271293501
FBgn0000183	7.53021171891931
FBgn0000212	7.02286808608264
FBgn0000221	6.11993105148028
FBgn0000228	6.91124916823639
FBgn0000229	7.74138877717528
FBgn0000239	6.11405084343088
FBgn0000247	6.93876933251131
FBgn0000250	7.75804864834914
FBgn0000253	10.7375083761436
FBgn0000256	7.31299814017306
FBgn0000257	6.91274282049318
FBgn0000259	7.40143474391316
FBgn0000261	8.14012115780929
FBgn0000273	8.93787526532926
FBgn0000286	6.75518668033753
FBgn0000289	7.4478484004287
FBgn0000299	7.94236223767433
FBgn0000307	6.94376571650517
FBgn0000308	7.61956064136062
FBgn0000316	5.8617354404332
FBgn0000317	7.12286665859908
FBgn0000318	7.34223966949141
FBgn0000319	8.60483770126828
FBgn0000320	6.16856415992078
FBgn0000326	6.76849321164863
FBgn0000330	6.79998445345248
FBgn0000339	6.72403274127255
FBgn0000352	6.19712278408117
FBgn0000370	8.58401036445355
FBgn0000376	6.34884757363039
FBgn0000377	6.36618403787698
FBgn0000382	8.0805469658245
FBgn0000384	5.49648493179207
FBgn0000394	5.91889385427315
FBgn0000404	8.02442575490528
FBgn0000406	10.3136527092025
FBgn0000412	7.58265362448529
FBgn0000414	7.5778044082961
